Instancia,Zonas,Alpha,Costo_Promedio,Costo_Std,Tiempo_Promedio
mediana_1.spp,4,0.2,37.442539999999994,3.14509180279368,86.73026000000002
mediana_1.spp,4,0.3,37.15453,5.721077835911302,74.31001
mediana_1.spp,4,0.4,37.79791999999999,5.26649614656441,70.91651999999999
mediana_1.spp,4,0.5,36.34485,3.4617262906917796,69.30956
mediana_1.spp,5,0.2,32.02005,2.279574998522508,135.9943
mediana_1.spp,5,0.3,35.43181,3.6085528956910133,119.2769
mediana_1.spp,5,0.4,35.469080000000005,3.369673266653608,114.5154
mediana_1.spp,5,0.5,34.54415,2.7842190723392757,115.6695
mediana_1.spp,6,0.2,33.66764,4.346244833365414,192.86380000000003
mediana_1.spp,6,0.3,34.29481,2.9626744267262612,188.75550000000004
mediana_1.spp,6,0.4,35.31392,3.7442216434275233,166.875
mediana_1.spp,6,0.5,33.03573,2.553386008181642,152.39000000000001
